MP_Name,Is_Former_Member,Constituency,State,Lok_Sabha,Entitlement,Released,AmountAvailable,WorksRecommCost,WSCost,ActualExpenditureIncurred,UnspentBalance,Flag_Overspend,Sanction_Ratio,Flag_Sanction_Over_Entitlement,Recomm_Ratio,Flag_Recomm_Over_Entitlement,Unspent_Share,Flag_Idle_Funds,Execution_Gap_Share,Flag_Execution_Gap,Anomaly_Score,Risk_Score,Risk_Level,Risk_Reasons
Suresh Kumar Kashyap,False,SHIMLA (SC),,17th Lok Sabha,17.0,9.5,12.9989,12.8084,12.8084,11.88,1.1189,0,0.7534352941176471,0,0.7534352941176471,0,0.08607651416658332,0,0.07248368258330469,0,0.477,9.5,Low,Compliant within operational parameters
Ram Swaroop Sharma,True,MANDI,,17th Lok Sabha,10.0,2.5,5.3501,5.878,4.7531,3.0258,2.3243,0,0.47531,0,0.5878,0,0.4344404777480795,0,0.3634049357261577,0,0.553,11.1,Low,Compliant within operational parameters
Anurag Singh Thakur,False,HAMIRPUR,,17th Lok Sabha,17.0,7.0,10.0947,9.8791,9.8791,7.7685,2.3262,0,0.5811235294117647,0,0.5811235294117647,0,0.23043775446521444,0,0.21364294318308338,0,0.477,9.5,Low,Compliant within operational parameters
Mohammad Akbar Lone,False,BARAMULLAH,,17th Lok Sabha,17.0,9.5,9.53,12.7299,12.7299,8.0757,1.4543,0,0.7488176470588236,0,0.7488176470588236,0,0.15260230849947534,0,0.3656116701623737,0,0.502,10.0,Low,Compliant within operational parameters
Jitendra Singh,False,UDHAMPUR,,17th Lok Sabha,17.0,9.5,9.6823,10.679,10.679,7.1801,2.5022,0,0.6281764705882353,0,0.6281764705882353,0,0.25843033163607826,0,0.3276430377376159,0,0.495,9.9,Low,Compliant within operational parameters
Hasnain Masoodi,False,ANANTNAG,,17th Lok Sabha,17.0,7.0,8.4602,8.4011,8.4011,5.7807,2.6795,0,0.49418235294117646,0,0.49418235294117646,0,0.3167182808917047,0,0.3119115353941745,0,0.514,10.3,Low,Compliant within operational parameters
Jugal Kishore Sharma,False,JAMMU,,17th Lok Sabha,17.0,9.5,9.6246,13.8975,12.0086,6.8508,2.7738,0,0.7063882352941177,0,0.8175,0,0.2881989900878998,0,0.4295088519894076,1,0.522,30.4,Low,Execution delay gap (>40% sanctioned not spent)
Farooq Abdullah,False,SRINAGAR,,17th Lok Sabha,17.0,9.5,10.7805,12.2433,10.4766,7.8246,2.9559,0,0.6162705882352941,0,0.7201941176470588,0,0.2741895088353973,0,0.2531355592463203,0,0.49,9.8,Low,Compliant within operational parameters
Nishikant Dubey,False,GODDA,,17th Lok Sabha,17.0,2.5,2.5,0.0,0.0,0.0,2.5,0,0.0,0,0.0,0,1.0,1,0.0,0,0.703,34.1,Low,High idle/unspent balance (>50%); Peer distribution outlier (Isolation Forest)
Chandra Prakash Choudhary,False,GIRIDIH,,17th Lok Sabha,17.0,7.0,7.1089,10.0382,6.7826,6.2421,0.8668,0,0.3989764705882353,0,0.5904823529411765,0,0.1219316631265034,0,0.07968920472974975,0,0.483,9.7,Low,Compliant within operational parameters
